timestamp,lidar_mm,theta,packet_count,late_wakeup_count,skipped_cycle_count
21:50:36.130100.12,65535,-2.924384593963623,28,1,154
21:50:36.130100.13,279,-2.924384593963623,28,1,154
21:50:36.130100.14,281,-2.924384593963623,28,1,154
21:50:36.130100.15,276,-2.924384593963623,28,1,154
21:50:36.179046.0,283,-2.9251296520233154,29,1,154
21:50:36.179046.1,264,-2.9251296520233154,29,1,154
21:50:36.179046.2,270,-2.9251296520233154,29,1,154
21:50:36.179046.3,65535,-2.9251296520233154,29,1,154
21:50:36.179046.4,283,-2.9251296520233154,29,1,154
21:50:36.179046.5,275,-2.9251296520233154,29,1,154
21:50:36.179046.6,286,-2.9251296520233154,29,1,154
21:50:36.179046.7,276,-2.9251296520233154,29,1,154
21:50:36.179046.8,275,-2.9251296520233154,29,1,154
21:50:36.179046.9,292,-2.9251296520233154,29,1,154
21:50:36.179046.10,65535,-2.9251296520233154,29,1,154
21:50:36.179046.11,273,-2.9251296520233154,29,1,154
21:50:36.179046.12,287,-2.9251296520233154,29,1,154
21:50:36.179046.13,287,-2.9251296520233154,29,1,154
21:50:36.179046.14,284,-2.9251296520233154,29,1,154
21:50:36.179046.15,282,-2.9251296520233154,29,1,154
21:50:36.230042.0,268,-2.925767421722412,30,1,154
21:50:36.230042.1,65535,-2.925767421722412,30,1,154
21:50:36.230042.2,273,-2.925767421722412,30,1,154
21:50:36.230042.3,292,-2.925767421722412,30,1,154
21:50:36.230042.4,286,-2.925767421722412,30,1,154
21:50:36.230042.5,295,-2.925767421722412,30,1,154
21:50:36.230042.6,290,-2.925767421722412,30,1,154
21:50:36.230042.7,283,-2.925767421722412,30,1,154
21:50:36.230042.8,65535,-2.925767421722412,30,1,154
21:50:36.230042.9,278,-2.925767421722412,30,1,154
21:50:36.230042.10,65535,-2.925767421722412,30,1,154
21:50:36.230042.11,284,-2.925767421722412,30,1,154
21:50:36.230042.12,293,-2.925767421722412,30,1,154
21:50:36.230042.13,285,-2.925767421722412,30,1,154
21:50:36.230042.14,65535,-2.925767421722412,30,1,154
21:50:36.230042.15,276,-2.925767421722412,30,1,154
